기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복ㆍ신발	의복ㆍ신발	의복ㆍ신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설 유지·보수	수도 및 주거관련 서비스	전기가스 및 기타연료	계	가구ㆍ가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향ㆍ영상ㆍ사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품ㆍ조경용품 및 애완동물	오락 및 문화서비스	신문ㆍ서적 및 문방구	단체여행	계	유치원 및 초등교육	중등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2017.09	구분	103.91	110.2	110.92	99.64	102.8	108.67	100	103.06	102.57	106	102.45	105.02	105.17	108.86	88.29	103.15	110.33	99.39	101.77	101.99	102.18	101.44	101.79	98.8	103.63	103.55	101.97	100.88	100.39	104.28	100.81	109.07	104.27	100.11	101.88	95.59	102.16	104.16	103.2	102.14	100.95	103.18	102.87	101.21	99.97	104.35	105.79	105.89	102.18	105.71	98.48	105.24	118.95
2017.10	구분	103.54	105.62	106.04	99.57	102.63	108.13	100	103.06	102.58	106	102.66	105.12	105.7	109.98	88.3	103.58	109.45	101.21	102.32	102.96	102.18	102.11	101.65	99.02	103.55	102.31	102.66	101.05	101.74	104.54	100.81	109.07	104.27	100.11	102.96	96.04	102.23	104.59	103.19	102.3	104.46	103.19	102.87	101.21	99.97	104.36	105.86	105.92	103.88	105.91	98.8	105.12	119.06
2017.11	구분	102.94	103.81	104.3	96.55	102.63	108.14	100	103.03	103.36	101.01	101.86	105.28	105.96	108.28	84.26	103.06	109.48	101.21	101.81	102.85	102.18	100.98	101.36	98.67	103.23	102.31	102.67	100.22	102.67	104	100.81	109.07	104.27	100.11	100.23	95.88	104.13	103.42	103.21	102.32	95	103.24	102.87	101.21	99.97	104.44	106.04	106.18	101.36	105.54	98.49	103.61	119.07
2017.12	구분	103.21	104.55	105.06	97.13	102.64	108.17	100	103.73	103.36	106	102	105.29	106.12	109.31	84.27	103.07	109.58	101.21	102.23	103.46	102.17	100.37	101.51	99.07	103.23	102.31	103	99.87	103.33	104.33	100.85	109.07	104.52	100.11	100.34	95.42	103.48	103.83	103.17	102.59	95.32	103.24	102.87	101.21	99.97	104.44	106.56	106.6	105.16	105.49	98.03	105.14	119.07
2018.01	구분	103.63	106.16	106.76	97.3	102.74	108.46	100	103.14	103.36	101.8	102.32	105.44	106.17	111.29	84.27	103.41	110.7	101.21	103.84	99.52	102.45	100.43	102.69	98.91	105.31	104	103.41	100.36	103.83	104.62	99.92	109.07	101.52	99.57	100.96	95.11	104.69	105.91	103.36	102.75	96.28	103.72	102.87	101.21	99.97	105.13	106.81	106.86	105.11	105.27	98.29	101.95	119.23
2018.02	구분	104.37	109.46	110.22	98.39	103.04	109.4	100	103.73	103.36	106	102.5	105.52	106.31	112.4	84.25	104.31	113.29	105.72	103.15	100.95	102.22	100.96	102.66	98.93	105.22	104.03	103.65	100.17	104.26	104.87	99.92	109.07	101.52	99.57	102.26	94.82	105.17	106.63	103.4	102.77	100.67	104.02	102.87	101.21	99.97	105.58	107.24	107.31	104.95	105.96	98.81	105.1	119.23
2018.03	구분	104.44	108.14	108.73	99.54	102.83	108.76	100	103.8	103.44	106	102.69	105.59	106.39	113.64	84.26	107.51	114.6	102.27	103.19	103.44	102.45	110.23	102.72	99.17	105.15	104.04	103.48	101.12	103.81	104.39	99.92	109.07	101.52	99.57	101.67	94.74	104.89	105.68	103.66	101.9	99.15	104.27	104.97	101.21	99.67	105.9	107.84	108	102.32	106.15	99.38	104.78	118.93
2018.04	구분	104.63	108.63	109.34	98.3	102.77	108.58	100	103.8	103.43	106.02	102.69	105.72	107.22	112.7	84.26	107.06	115.46	102.35	102.3	100.14	102.45	110.05	102.34	98.92	105.06	102.44	103.28	101.23	103.3	104.38	100.11	109.07	104.87	99.16	103.15	94.45	104.63	105.9	104.31	102.54	103.34	104.74	104.97	101.21	99.67	106.58	108.19	108.32	103.51	106.23	99.32	105.68	118.92
2018.05	구분	104.68	108.01	108.64	98.78	102.73	108.46	100	103.85	103.48	106.07	102.68	105.78	107.22	112.27	84.26	107.92	115.45	102.35	103.52	101.37	102.68	111.28	102.29	98.8	105.06	102.44	104.03	101.53	104.5	104.9	99.88	109.07	104.87	98.89	103.45	93.09	103.94	106.43	104.65	102.63	104.17	104.76	104.97	101.21	99.67	106.61	108.45	108.55	104.96	105.95	98.64	106.47	118.94
2018.06	구분	104.39	106.34	106.86	98.7	102.56	107.91	100	103.85	103.48	106.07	102.54	105.79	107.72	110.8	84.27	107.8	115.18	102.35	101.89	103.39	102.68	111.93	102.45	99.22	105.06	102.44	104.49	100.88	106.09	104.7	99.78	109.07	104.85	98.77	101.67	92.59	103.78	105.95	104.67	102.8	97.99	104.76	104.97	101.21	99.67	106.61	108.54	108.66	104.5	106.11	99.03	105.95	118.95
2018.07	구분	104.66	107.4	108.01	98.43	102.68	108.29	100	103.77	103.43	105.77	102.74	105.8	108.58	109.63	85.94	108.22	115.33	102.06	102.74	102.67	102.82	112.66	101.38	98.05	104.75	99.31	104.67	99.38	106.31	105.75	99.27	109.07	102.24	98.66	103.45	93.04	103.88	104.05	104.61	104.28	104.52	104.78	104.97	101.21	99.67	106.64	109	109	109.18	105.96	98.76	106.08	118.9
2018.08	구분	105.21	112.5	113.49	98.04	102.52	107.81	100	103.77	103.43	105.77	101.82	105.9	108.49	110.95	79.6	108.1	115.04	102.35	103.25	102.71	102.82	111.92	101.51	98.4	104.75	99.31	104.92	99.25	106.94	105.81	99.17	109.07	102.24	98.54	104.38	92.96	104.23	104.79	104.64	104.28	107.52	104.86	104.97	101.21	99.67	106.76	109.26	109.17	112.62	106.24	99.18	106.39	118.9
2018.09	구분	105.81	115.51	116.58	99.87	102.59	108.02	100	103.84	103.52	105.77	102.95	105.97	109.61	110.19	85.95	107.73	114.8	102.35	102.5	99.86	102.82	112.42	101.44	98.21	104.75	99.31	104.92	99.27	107.56	105.11	99.07	109.07	102.24	98.42	103.91	91.86	104	106.18	104.73	104.27	105.41	104.88	104.97	101.21	99.67	106.79	109.32	109.42	105.55	106.41	99.47	106.43	118.92
2018.10	구분	105.46	111.61	112.5	98.55	102.58	107.99	100	103.84	103.52	105.77	103.13	106.01	110.51	111.37	85.98	108.15	114.68	103.59	102.6	104.01	102.82	112.21	101.33	98.25	104.75	98.51	106.02	99.84	109.92	105.11	99.03	109.07	102.24	98.37	103.3	91.44	104.3	104.17	104.83	104.22	104.17	104.9	104.97	101.21	99.67	106.81	109.6	109.77	103.7	106.26	99.23	106.32	118.9
